RecipeName,Ingredients,Instructions
Tomato Sauce Pasta,"tomato sauce, mayonnaise, tortillas","Combine tomato sauce, mayonnaise and tortillas. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Salad,"tortillas, carrots, cream","Combine tortillas, carrots and cream. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Tart,"strawberries, mayonnaise",Combine strawberries and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot.
Tomatoes Soup,"tomatoes, salt, chickpeas, lentils","Combine tomatoes, salt, chickpeas and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Bake,"sugar, flour, saffron, broth","Combine sugar, flour, saffron and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Bake,"beef, garlic, yogurt, caesar dressing, eggplant","Combine beef, garlic, yogurt, caesar dressing and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Frittata,"eggplant, mustard, pumpkin, celery","Combine eggplant, mustard, pumpkin and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Skillet,"vegetables, onions, mushrooms, peas","Combine vegetables, onions, mushrooms and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Soup,"olive oil, saffron",Combine olive oil and saffron. Cook until done. Adjust seasoning to taste. Serve hot.
Pepper Delight,"pepper, pumpkin, lentils, tomato","Combine pepper, pumpkin, lentils and tomato. Cook until done. Adjust seasoning to taste. Serve hot."
Pepper Stir-Fry,"pepper, vinegar",Combine pepper and vinegar. Cook until done. Adjust seasoning to taste. Serve hot.
Salt Salad,"salt, mustard",Combine salt and mustard. Cook until done. Adjust seasoning to taste. Serve hot.
Croutons Stir-Fry,"croutons, rice, flour, lentils, ginger","Combine croutons, rice, flour, lentils and ginger. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Delight,"sugar, caesar dressing, strawberries, pumpkin, lime, beans","Combine sugar, caesar dressing, strawberries, pumpkin, lime and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Delight,"vegetables, pepper",Combine vegetables and pepper. Cook until done. Adjust seasoning to taste. Serve hot.
Chicken Casserole,"chicken, pasta",Combine chicken and pasta. Cook until done. Adjust seasoning to taste. Serve hot.
Parmesan Bake,"parmesan, coconut milk",Combine parmesan and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot.
Chicken Stir-Fry,"chicken, garlic, breadcrumbs, yogurt","Combine chicken, garlic, breadcrumbs and yogurt. Cook until done. Adjust seasoning to taste. Serve hot."
Bread Delight,"bread, mozzarella, yogurt, chickpeas","Combine bread, mozzarella, yogurt and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Skillet,"vegetables, lemon, curry powder, parmesan, yogurt","Combine vegetables, lemon, curry powder, parmesan and yogurt. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Casserole,"apples, croutons",Combine apples and croutons. Cook until done. Adjust seasoning to taste. Serve hot.
Caesar Dressing Salad,"caesar dressing, tomato sauce",Combine caesar dressing and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot.
Pasta Bake,"pasta, avocado, yogurt, lime, cabbage, parmesan","Combine pasta, avocado, yogurt, lime, cabbage and parmesan. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Skillet,"blueberries, curry powder, mussels, breadcrumbs, bun","Combine blueberries, curry powder, mussels, breadcrumbs and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Bake,"mozzarella, lamb, carrots, mushrooms","Combine mozzarella, lamb, carrots and mushrooms. Cook until done. Adjust seasoning to taste. Serve hot."
Bell Peppers Delight,"bell peppers, salsa, strawberries","Combine bell peppers, salsa and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Yogurt Pasta,"yogurt, chickpeas, pasta, mayonnaise, croutons, cheese","Combine yogurt, chickpeas, pasta, mayonnaise, croutons and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Frittata,"pasta, croutons, breadcrumbs, broth, carrots, cabbage","Combine pasta, croutons, breadcrumbs, broth, carrots and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Soup,"mayonnaise, parmesan, lemons, carrots, eggplant","Combine mayonnaise, parmesan, lemons, carrots and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Frittata,"eggplant, soy sauce",Combine eggplant and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot.
Tortilla Frittata,"tortilla, ginger, banana, lamb, cream, salmon","Combine tortilla, ginger, banana, lamb, cream and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Cocoa Powder Pasta,"cocoa powder, mustard, honey, beans, dill, rice","Combine cocoa powder, mustard, honey, beans, dill and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Frittata,"dill, rice",Combine dill and rice. Cook until done. Adjust seasoning to taste. Serve hot.
Salsa Stir-Fry,"salsa, avocado",Combine salsa and avocado. Cook until done. Adjust seasoning to taste. Serve hot.
Caesar Dressing Stir-Fry,"caesar dressing, mussels, strawberries, onions","Combine caesar dressing, mussels, strawberries and onions. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Delight,"chocolate, pie crust, blueberries, balsamic, tomato sauce, bell peppers","Combine chocolate, pie crust, blueberries, balsamic, tomato sauce and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Croutons Tart,"croutons, basil, beef, mustard","Combine croutons, basil, beef and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Vegetables Pasta,"vegetables, rosemary, onions, parmesan","Combine vegetables, rosemary, onions and parmesan. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Tart,"vinegar, salt",Combine vinegar and salt. Cook until done. Adjust seasoning to taste. Serve hot.
Cheese Salad,"cheese, garlic, bread, lemon, water, saffron","Combine cheese, garlic, bread, lemon, water and saffron. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Frittata,"salt, lentils, mustard","Combine salt, lentils and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Salad,"lemon, parsley",Combine lemon and parsley. Cook until done. Adjust seasoning to taste. Serve hot.
Eggplant Pasta,"eggplant, breadcrumbs",Combine eggplant and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot.
Pepper Frittata,"pepper, tortillas",Combine pepper and tortillas. Cook until done. Adjust seasoning to taste. Serve hot.
Lemon Bake,"lemon, zucchini",Combine lemon and zucchini. Cook until done. Adjust seasoning to taste. Serve hot.
Avocado Delight,"avocado, carrots",Combine avocado and carrots. Cook until done. Adjust seasoning to taste. Serve hot.
Rice Tart,"rice, mayonnaise, salmon","Combine rice, mayonnaise and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Skillet,"chickpeas, mozzarella, caesar dressing, flour","Combine chickpeas, mozzarella, caesar dressing and flour. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Soup,"lettuce, parmesan",Combine lettuce and parmesan. Cook until done. Adjust seasoning to taste. Serve hot.
Bell Peppers Casserole,"bell peppers, fish, sugar, vegetables, blueberries, rice","Combine bell peppers, fish, sugar, vegetables, blueberries and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Mixed Vegetables Bake,"mixed vegetables, beef, rice, strawberries, chickpeas, mozzarella","Combine mixed vegetables, beef, rice, strawberries, chickpeas and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot."
Bun Tart,"bun, sugar, butter, curry powder","Combine bun, sugar, butter and curry powder. Cook until done. Adjust seasoning to taste. Serve hot."
Basil Salad,"basil, avocado",Combine basil and avocado. Cook until done. Adjust seasoning to taste. Serve hot.
Pie Crust Pasta,"pie crust, mixed vegetables",Combine pie crust and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot.
Chocolate Pasta,"chocolate, bananas, soy sauce","Combine chocolate, bananas and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Stir-Fry,"lentils, eggplant, onions","Combine lentils, eggplant and onions. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Tart,"blueberries, sugar, mozzarella, cabbage","Combine blueberries, sugar, mozzarella and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Tart,"chocolate, cucumber",Combine chocolate and cucumber. Cook until done. Adjust seasoning to taste. Serve hot.
Olive Oil Casserole,"olive oil, bell peppers",Combine olive oil and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot.
Lemon Casserole,"lemon, lentils, breadcrumbs, soy sauce","Combine lemon, lentils, breadcrumbs and soy sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Soup,"mozzarella, coconut milk",Combine mozzarella and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot.
Lamb Casserole,"lamb, tuna, eggplant, peppers, mozzarella, tomato sauce","Combine lamb, tuna, eggplant, peppers, mozzarella and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Delight,"shrimp, eggplant, cheese","Combine shrimp, eggplant and cheese. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Delight,"banana, curry powder, shrimp, mayonnaise, vinegar","Combine banana, curry powder, shrimp, mayonnaise and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Apples Skillet,"apples, zucchini, mushrooms, lemon","Combine apples, zucchini, mushrooms and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Salsa Casserole,"salsa, dill, onions","Combine salsa, dill and onions. Cook until done. Adjust seasoning to taste. Serve hot."
Celery Skillet,"celery, garlic",Combine celery and garlic. Cook until done. Adjust seasoning to taste. Serve hot.
Curry Powder Pasta,"curry powder, salmon",Combine curry powder and salmon. Cook until done. Adjust seasoning to taste. Serve hot.
Pepper Tart,"pepper, bread, tomato, broth","Combine pepper, bread, tomato and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Frittata,"vinegar, mustard, blueberries","Combine vinegar, mustard and blueberries. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Stir-Fry,"beef, parsley, caesar dressing, dill, honey, fish","Combine beef, parsley, caesar dressing, dill, honey and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Skillet,"lentils, lemons, peas, flour, curry powder","Combine lentils, lemons, peas, flour and curry powder. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Bake,"carrots, tomato, bun","Combine carrots, tomato and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Casserole,"chickpeas, peas",Combine chickpeas and peas. Cook until done. Adjust seasoning to taste. Serve hot.
Onion Salad,"onion, cabbage, salt, milk","Combine onion, cabbage, salt and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Bake,"lemon, peppers, fish, cabbage, breadcrumbs","Combine lemon, peppers, fish, cabbage and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Tortilla Bake,"tortilla, basil, croutons, lentils","Combine tortilla, basil, croutons and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Eggplant Pasta,"eggplant, milk",Combine eggplant and milk. Cook until done. Adjust seasoning to taste. Serve hot.
Beans Casserole,"beans, lamb, fish, chocolate, banana, olive oil","Combine beans, lamb, fish, chocolate, banana and olive oil. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Skillet,"soy sauce, eggplant, broth, peppers, bun, carrots","Combine soy sauce, eggplant, broth, peppers, bun and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Bake,"beef, cucumber",Combine beef and cucumber. Cook until done. Adjust seasoning to taste. Serve hot.
Olive Oil Skillet,"olive oil, mozzarella, vegetables","Combine olive oil, mozzarella and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Sauce Casserole,"tomato sauce, fish, blueberries, balsamic, bell peppers, coconut milk","Combine tomato sauce, fish, blueberries, balsamic, bell peppers and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Breadcrumbs Delight,"breadcrumbs, lettuce, cabbage","Combine breadcrumbs, lettuce and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Casserole,"beans, chickpeas, sugar, parsley, mustard","Combine beans, chickpeas, sugar, parsley and mustard. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Bake,"mushrooms, parmesan",Combine mushrooms and parmesan. Cook until done. Adjust seasoning to taste. Serve hot.
Croutons Bake,"croutons, cinnamon, garlic, peas","Combine croutons, cinnamon, garlic and peas. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Frittata,"tortillas, tuna",Combine tortillas and tuna. Cook until done. Adjust seasoning to taste. Serve hot.
Water Pasta,"water, honey, rice","Combine water, honey and rice. Cook until done. Adjust seasoning to taste. Serve hot."
Potatoes Pasta,"potatoes, beef, breadcrumbs, garlic, mussels, carrots","Combine potatoes, beef, breadcrumbs, garlic, mussels and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Water Tart,"water, salsa, eggplant","Combine water, salsa and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Mushrooms Casserole,"mushrooms, milk",Combine mushrooms and milk. Cook until done. Adjust seasoning to taste. Serve hot.
Pumpkin Soup,"pumpkin, mayonnaise, strawberries, rosemary, lentils, mussels","Combine pumpkin, mayonnaise, strawberries, rosemary, lentils and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Salad,"banana, lemons, tomatoes","Combine banana, lemons and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Garlic Casserole,"garlic, beef",Combine garlic and beef. Cook until done. Adjust seasoning to taste. Serve hot.
Milk Salad,"milk, tomato, curry powder, chicken, broth, eggplant","Combine milk, tomato, curry powder, chicken, broth and eggplant. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Pasta,"salt, beef, cucumber, sugar","Combine salt, beef, cucumber and sugar. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Stir-Fry,"chocolate, dill, tomato sauce, lemons","Combine chocolate, dill, tomato sauce and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Banana Salad,"banana, milk, strawberries, water, celery, vinegar","Combine banana, milk, strawberries, water, celery and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Shrimp Skillet,"shrimp, lemon, chocolate, pumpkin, bananas","Combine shrimp, lemon, chocolate, pumpkin and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Curry Powder Salad,"curry powder, tortilla",Combine curry powder and tortilla. Cook until done. Adjust seasoning to taste. Serve hot.
Salsa Delight,"salsa, potatoes",Combine salsa and potatoes. Cook until done. Adjust seasoning to taste. Serve hot.
Tortillas Bake,"tortillas, coconut milk, caesar dressing, lime","Combine tortillas, coconut milk, caesar dressing and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Bake,"beef, balsamic, celery, tomato sauce","Combine beef, balsamic, celery and tomato sauce. Cook until done. Adjust seasoning to taste. Serve hot."
Salsa Skillet,"salsa, mixed vegetables",Combine salsa and mixed vegetables. Cook until done. Adjust seasoning to taste. Serve hot.
Zucchini Stir-Fry,"zucchini, mustard, tomato sauce, broth","Combine zucchini, mustard, tomato sauce and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Casserole,"lentils, carrots, chicken, parsley","Combine lentils, carrots, chicken and parsley. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Salad,"chocolate, spinach, tortillas, milk","Combine chocolate, spinach, tortillas and milk. Cook until done. Adjust seasoning to taste. Serve hot."
Chocolate Delight,"chocolate, mushrooms, lemon, honey, caesar dressing, zucchini","Combine chocolate, mushrooms, lemon, honey, caesar dressing and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Mustard Frittata,"mustard, strawberries, bananas, cinnamon, tortilla, lemons","Combine mustard, strawberries, bananas, cinnamon, tortilla and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Vinegar Casserole,"vinegar, strawberries, bun","Combine vinegar, strawberries and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Stir-Fry,"lettuce, blueberries, dill","Combine lettuce, blueberries and dill. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Casserole,"chickpeas, vinegar, breadcrumbs, lettuce","Combine chickpeas, vinegar, breadcrumbs and lettuce. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Salad,"fish, cream",Combine fish and cream. Cook until done. Adjust seasoning to taste. Serve hot.
Mayonnaise Skillet,"mayonnaise, eggs",Combine mayonnaise and eggs. Cook until done. Adjust seasoning to taste. Serve hot.
Beans Casserole,"beans, mussels",Combine beans and mussels. Cook until done. Adjust seasoning to taste. Serve hot.
Chickpeas Tart,"chickpeas, onion, rice, mushrooms, mayonnaise","Combine chickpeas, onion, rice, mushrooms and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Bake,"broth, potatoes, sugar, yogurt, cucumber","Combine broth, potatoes, sugar, yogurt and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Soup,"blueberries, bananas, honey, balsamic, lemons","Combine blueberries, bananas, honey, balsamic and lemons. Cook until done. Adjust seasoning to taste. Serve hot."
Blueberries Bake,"blueberries, lime",Combine blueberries and lime. Cook until done. Adjust seasoning to taste. Serve hot.
Chicken Frittata,"chicken, blueberries, soy sauce, breadcrumbs, lime","Combine chicken, blueberries, soy sauce, breadcrumbs and lime. Cook until done. Adjust seasoning to taste. Serve hot."
Potatoes Bake,"potatoes, banana, parsley, chickpeas, tortilla, water","Combine potatoes, banana, parsley, chickpeas, tortilla and water. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Salad,"broth, lettuce",Combine broth and lettuce. Cook until done. Adjust seasoning to taste. Serve hot.
Onion Soup,"onion, soy sauce, shrimp","Combine onion, soy sauce and shrimp. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Pasta,"lamb, dill, broth, beans","Combine lamb, dill, broth and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Soy Sauce Pasta,"soy sauce, pumpkin, cheese, beans, mixed vegetables, apples","Combine soy sauce, pumpkin, cheese, beans, mixed vegetables and apples. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Frittata,"honey, zucchini",Combine honey and zucchini. Cook until done. Adjust seasoning to taste. Serve hot.
Coconut Milk Soup,"coconut milk, broth, banana, cream, chickpeas","Combine coconut milk, broth, banana, cream and chickpeas. Cook until done. Adjust seasoning to taste. Serve hot."
Pie Crust Soup,"pie crust, butter",Combine pie crust and butter. Cook until done. Adjust seasoning to taste. Serve hot.
Pie Crust Tart,"pie crust, pumpkin, zucchini, fish, breadcrumbs","Combine pie crust, pumpkin, zucchini, fish and breadcrumbs. Cook until done. Adjust seasoning to taste. Serve hot."
Cinnamon Soup,"cinnamon, mozzarella, mushrooms, peas, basil","Combine cinnamon, mozzarella, mushrooms, peas and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Delight,"peppers, fish, cucumber, flour, strawberries","Combine peppers, fish, cucumber, flour and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Tart,"broth, bread, mayonnaise","Combine broth, bread and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Sauce Tart,"tomato sauce, curry powder, soy sauce, beef, mussels","Combine tomato sauce, curry powder, soy sauce, beef and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Salt Skillet,"salt, pie crust, sugar, dill, lamb","Combine salt, pie crust, sugar, dill and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Bake,"bananas, rosemary, sugar, salmon, tuna","Combine bananas, rosemary, sugar, salmon and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Bake,"peas, chocolate",Combine peas and chocolate. Cook until done. Adjust seasoning to taste. Serve hot.
Cocoa Powder Pasta,"cocoa powder, caesar dressing, basil","Combine cocoa powder, caesar dressing and basil. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Bake,"parsley, coconut milk",Combine parsley and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot.
Fish Pasta,"fish, lemons, bell peppers, breadcrumbs, mussels, spinach","Combine fish, lemons, bell peppers, breadcrumbs, mussels and spinach. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Frittata,"lentils, garlic, salmon, pepper, avocado, tuna","Combine lentils, garlic, salmon, pepper, avocado and tuna. Cook until done. Adjust seasoning to taste. Serve hot."
Onions Frittata,"onions, butter, zucchini, cheese, celery, strawberries","Combine onions, butter, zucchini, cheese, celery and strawberries. Cook until done. Adjust seasoning to taste. Serve hot."
Broth Stir-Fry,"broth, bun, strawberries, zucchini, ginger, salt","Combine broth, bun, strawberries, zucchini, ginger and salt. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Frittata,"fish, mussels, yogurt, pumpkin, sugar","Combine fish, mussels, yogurt, pumpkin and sugar. Cook until done. Adjust seasoning to taste. Serve hot."
Bananas Frittata,"bananas, chocolate, garlic, olive oil, celery","Combine bananas, chocolate, garlic, olive oil and celery. Cook until done. Adjust seasoning to taste. Serve hot."
Olive Oil Casserole,"olive oil, bananas, mustard, lettuce, dill, beans","Combine olive oil, bananas, mustard, lettuce, dill and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Soup,"mozzarella, balsamic, lime, lamb","Combine mozzarella, balsamic, lime and lamb. Cook until done. Adjust seasoning to taste. Serve hot."
Pumpkin Soup,"pumpkin, broth, curry powder, carrots","Combine pumpkin, broth, curry powder and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Lentils Skillet,"lentils, flour, onions, tortilla, water","Combine lentils, flour, onions, tortilla and water. Cook until done. Adjust seasoning to taste. Serve hot."
Pasta Casserole,"pasta, croutons, onion","Combine pasta, croutons and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Tart,"mozzarella, beef, saffron, chicken, bell peppers, lemon","Combine mozzarella, beef, saffron, chicken, bell peppers and lemon. Cook until done. Adjust seasoning to taste. Serve hot."
Carrots Salad,"carrots, salsa, strawberries, banana, chocolate","Combine carrots, salsa, strawberries, banana and chocolate. Cook until done. Adjust seasoning to taste. Serve hot."
Beef Casserole,"beef, eggplant, bananas","Combine beef, eggplant and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Mixed Vegetables Soup,"mixed vegetables, coconut milk",Combine mixed vegetables and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot.
Peppers Skillet,"peppers, rosemary, mustard, vinegar","Combine peppers, rosemary, mustard and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Casserole,"dill, mozzarella",Combine dill and mozzarella. Cook until done. Adjust seasoning to taste. Serve hot.
Peas Stir-Fry,"peas, chocolate, pie crust, tomato sauce, soy sauce, mayonnaise","Combine peas, chocolate, pie crust, tomato sauce, soy sauce and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Delight,"fish, breadcrumbs, ginger","Combine fish, breadcrumbs and ginger. Cook until done. Adjust seasoning to taste. Serve hot."
Beans Salad,"beans, chicken, sugar, croutons, cucumber","Combine beans, chicken, sugar, croutons and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Flour Tart,"flour, yogurt, onion","Combine flour, yogurt and onion. Cook until done. Adjust seasoning to taste. Serve hot."
Avocado Bake,"avocado, pie crust",Combine avocado and pie crust. Cook until done. Adjust seasoning to taste. Serve hot.
Tomatoes Soup,"tomatoes, avocado, cucumber","Combine tomatoes, avocado and cucumber. Cook until done. Adjust seasoning to taste. Serve hot."
Lemon Casserole,"lemon, water, garlic, parmesan, mushrooms, mayonnaise","Combine lemon, water, garlic, parmesan, mushrooms and mayonnaise. Cook until done. Adjust seasoning to taste. Serve hot."
Croutons Frittata,"croutons, peppers, lamb, salmon","Combine croutons, peppers, lamb and salmon. Cook until done. Adjust seasoning to taste. Serve hot."
Tomato Stir-Fry,"tomato, bun, apples, saffron, zucchini","Combine tomato, bun, apples, saffron and zucchini. Cook until done. Adjust seasoning to taste. Serve hot."
Water Casserole,"water, tomatoes, tortilla, ginger, lamb, bun","Combine water, tomatoes, tortilla, ginger, lamb and bun. Cook until done. Adjust seasoning to taste. Serve hot."
Lime Stir-Fry,"lime, garlic",Combine lime and garlic. Cook until done. Adjust seasoning to taste. Serve hot.
Fish Bake,"fish, yogurt, lamb, cocoa powder","Combine fish, yogurt, lamb and cocoa powder. Cook until done. Adjust seasoning to taste. Serve hot."
Dill Delight,"dill, beef, tomatoes, olive oil, lemons, carrots","Combine dill, beef, tomatoes, olive oil, lemons and carrots. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Delight,"honey, fish, onions, olive oil, mussels","Combine honey, fish, onions, olive oil and mussels. Cook until done. Adjust seasoning to taste. Serve hot."
Sugar Stir-Fry,"sugar, cocoa powder, lime, cucumber, salt, pie crust","Combine sugar, cocoa powder, lime, cucumber, salt and pie crust. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Casserole,"lamb, chickpeas, spinach, cinnamon, honey, broth","Combine lamb, chickpeas, spinach, cinnamon, honey and broth. Cook until done. Adjust seasoning to taste. Serve hot."
Fish Stir-Fry,"fish, spinach, cinnamon","Combine fish, spinach and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot."
Cucumber Salad,"cucumber, milk",Combine cucumber and milk. Cook until done. Adjust seasoning to taste. Serve hot.
Onions Frittata,"onions, lettuce, mozzarella, fish","Combine onions, lettuce, mozzarella and fish. Cook until done. Adjust seasoning to taste. Serve hot."
Peppers Frittata,"peppers, cabbage, pie crust, beans","Combine peppers, cabbage, pie crust and beans. Cook until done. Adjust seasoning to taste. Serve hot."
Tuna Pasta,"tuna, blueberries, pie crust, cocoa powder, rosemary, cabbage","Combine tuna, blueberries, pie crust, cocoa powder, rosemary and cabbage. Cook until done. Adjust seasoning to taste. Serve hot."
Lamb Stir-Fry,"lamb, onion, beans, cheese, carrots, coconut milk","Combine lamb, onion, beans, cheese, carrots and coconut milk. Cook until done. Adjust seasoning to taste. Serve hot."
Strawberries Skillet,"strawberries, pepper, celery, lemons, cinnamon","Combine strawberries, pepper, celery, lemons and cinnamon. Cook until done. Adjust seasoning to taste. Serve hot."
Lettuce Delight,"lettuce, vegetables, chocolate, lemons, vinegar","Combine lettuce, vegetables, chocolate, lemons and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Peas Salad,"peas, garlic",Combine peas and garlic. Cook until done. Adjust seasoning to taste. Serve hot.
Sugar Skillet,"sugar, chicken, pumpkin","Combine sugar, chicken and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Tortillas Pasta,"tortillas, parsley, vinegar","Combine tortillas, parsley and vinegar. Cook until done. Adjust seasoning to taste. Serve hot."
Parmesan Tart,"parmesan, potatoes, mussels, apples, bananas","Combine parmesan, potatoes, mussels, apples and bananas. Cook until done. Adjust seasoning to taste. Serve hot."
Mozzarella Tart,"mozzarella, avocado, lentils","Combine mozzarella, avocado and lentils. Cook until done. Adjust seasoning to taste. Serve hot."
Balsamic Salad,"balsamic, apples, vegetables","Combine balsamic, apples and vegetables. Cook until done. Adjust seasoning to taste. Serve hot."
Mayonnaise Skillet,"mayonnaise, lemon, caesar dressing","Combine mayonnaise, lemon and caesar dressing. Cook until done. Adjust seasoning to taste. Serve hot."
Rosemary Delight,"rosemary, tomato sauce, lemon, chickpeas, bell peppers","Combine rosemary, tomato sauce, lemon, chickpeas and bell peppers. Cook until done. Adjust seasoning to taste. Serve hot."
Honey Tart,"honey, pepper, salmon, tomatoes","Combine honey, pepper, salmon and tomatoes. Cook until done. Adjust seasoning to taste. Serve hot."
Parsley Stir-Fry,"parsley, carrots, lime, pumpkin","Combine parsley, carrots, lime and pumpkin. Cook until done. Adjust seasoning to taste. Serve hot."
Chickpeas Salad,"chickpeas, olive oil, balsamic","Combine chickpeas, olive oil and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
Caesar Dressing Frittata,"caesar dressing, croutons, balsamic","Combine caesar dressing, croutons and balsamic. Cook until done. Adjust seasoning to taste. Serve hot."
